g300_id,alias,note
001Px00000Vvm5wIAB,McDermott Will & Emery,"2025 merger with Schulte Roth & Zabel; review found duplicate 001Px00000heZNtIAM"
001Px00000Vvm5wIAB,Schulte Roth & Zabel,2025 merger
001Px00000VvNViIAN,Hunton & Williams,"2018 merger with Andrews Kurth; review found duplicates 001Px00000j52e4IAA, 001Px00000j52e5IAA"
001Px00000VvNViIAN,Andrews Kurth,2018 merger
001Px00000VwYp5IAF,Womble Carlyle Sandridge & Rice,"2017 merger with Bond Dickinson; review found duplicate 001Px00000j5HN0IAM"
001Px00000VwYp5IAF,Bond Dickinson,2017 merger
0016g00001AODvqAAH,Kelley Drye,"short brand; review found duplicates 001Px00000j5ORBIA2, 001Px00000jAKppIAG"
001Px00000VvfTpIAJ,Allen & Overy,2024 merger with Shearman & Sterling
001Px00000VvfTpIAJ,Shearman & Sterling,2024 merger
001Px00000VvfTpIAJ,A&O Shearman,"current brand; review found duplicate 001Px00000hloUuIAI"
0016g00001ANtcKAAT,Bryan Cave,2018 merger with Berwin Leighton Paisner
0016g00001ANtcKAAT,Berwin Leighton Paisner,2018 merger
0016g00001ANtcKAAT,BCLP,brand abbreviation
0016g00001AOgrVAAT,WilmerHale,brand
0016g00001AOgrVAAT,Hale and Dorr,2004 merger
0016g00001AO496AAD,Field Fisher Waterhouse,"former name; review found duplicate 001Px00000VxZRXIA3"
0016g00001AOdUoAAL,Troutman Sanders,2020 merger with Pepper Hamilton
0016g00001AOdUoAAL,Pepper Hamilton,2020 merger
0016g00001AOdUoAAL,Locke Lord,2025 merger
001Px00000VvUjPIAV,Drinker Biddle & Reath,2020 merger with Faegre Baker Daniels
001Px00000VvUjPIAV,Faegre Baker Daniels,2020 merger
0016g00001AO6I7AAL,Frost Brown Todd,"2025 merger with Gibbons; G300-flagged 001Px00000j5PGuIAM carries this name"
001Px00000VvZULIA3,Squire Sanders,2014 merger with Patton Boggs
001Px00000VvZULIA3,Patton Boggs,2014 merger
001Px00000VvsMqIAJ,Herbert Smith Freehills,2025 merger with Kramer Levin
001Px00000VvsMqIAJ,Kramer Levin Naftalis & Frankel,2025 merger
001Px00000VvlIsIAJ,Hogan & Hartson,2010 merger with Lovells
001Px00000VvZUUIA3,Fulbright & Jaworski,2013 combination with Norton Rose
001Px00000VvbwmIAB,Sutherland Asbill & Brennan,2017 combination with Eversheds
001Px00000VvMHCIA3,Lathrop Gage,2020 merger with Gray Plant Mooty
001Px00000VvMHCIA3,Gray Plant Mooty,2020 merger
001Px00000VvNUXIA3,Withers,"short brand; review found duplicate 001Px00000hecUDIAY"
