row,final_classification,tier,signal,signal_count,g300_id,g300_name,g300_website,g300_created,g300_child_offices,g300_contacts,g300_opportunities,candidate_id,candidate_name,candidate_website,candidate_created,candidate_created_by,candidate_is_older,candidate_child_offices,candidate_contacts,candidate_opportunities,classifier_call,classifier_confidence,classifier_rationale,skeptic_agrees,skeptic_call,skeptic_rationale
1,predecessor_or_legacy,1,"alias_exact, name_short_form",2,001Px00000VvfTpIAJ,Allen Overy Shearman Sterling LLP,www.aoshearman.com,2021-01-20T19:17:41.000+0000,57,6867,3528,001Px00000j5Bs7IAE,Allen & Overy LLP,,2026-08-20T18:15:15.000+0000,Kieran Hansen,N,1,1,12,predecessor_or_legacy,high,"Allen & Overy merged with Shearman & Sterling in May 2024 to form A&O Shearman (general knowledge). The 2026-08-20 Kieran Hansen batch record has a blank website, one New York office and a contact with an @allenovery.com email, so it is the legacy predecessor name.",Y,predecessor_or_legacy,"I checked the live records. 001Px00000j5Bs7IAE is a Firm record created 2026-08-20 by Kieran Hansen, with a blank website and one NY office (1221 Avenue of the Americas). Its only contact uses @allenovery.com, and all 12 opps are named 'ALLEN & OVERY LLP 610R59/610R62', with close dates in 2019-2020, before the merger. From general knowledge, Allen & Overy merged with Shearman & Sterling in May 2024 to form A&O Shearman, whose legal name is the G300 'Allen Overy Shearman Sterling LLP'. So this is the pre-merger predecessor name, not a same-name duplicate."
2,predecessor_or_legacy,1,alias_exact,1,001Px00000VvfTpIAJ,Allen Overy Shearman Sterling LLP,www.aoshearman.com,2021-01-20T19:17:41.000+0000,57,6867,3528,001Px00000j5MtYIAU,Shearman Sterling,,2026-08-20T18:20:17.000+0000,Kieran Hansen,N,1,1,5,predecessor_or_legacy,high,"Shearman & Sterling merged into A&O Shearman in 2024 (general knowledge). This is a 2026-08-20 batch record with a blank website and a single Paris office, and it carries the pre-merger firm name.",Y,predecessor_or_legacy,"The live record 001Px00000j5MtYIAU is a Firm from the 2026-08-20 Kieran Hansen batch with a blank website. It has one Paris office (43 Rue de Bellechasse) and one contact with no email (Edward L. Turner III). Its 5 opps are all 'SHEARMAN STERLING 592R43' with close dates of 2019-12-16, before the merger. From general knowledge, Shearman & Sterling combined with Allen & Overy in 2024 to form A&O Shearman. So this is the legacy predecessor firm name."
3,duplicate,1,name_exact,1,001Px00000VvXqOIAV,Alston & Bird LLP,www.alston.com,2021-01-20T19:18:07.000+0000,21,1512,789,001Px00000j5NuwIAE,Alston Bird,,2026-08-20T18:15:15.000+0000,Kieran Hansen,N,1,1,25,duplicate,high,"The name is 'Alston & Bird' without the ampersand or LLP. It is a 2026-08-20 Kieran Hansen batch record with a blank website and one Washington office. Its contact's email uses 'alsten.com', a typo of alston.com.",Y,duplicate,"The live record 001Px00000j5NuwIAE 'Alston Bird' is from the 2026-08-20 batch with a blank website. Its one office is at 950 F St NW, Washington DC, which is Alston & Bird's real DC office address (general knowledge). Its contact @alsten.com is a typo of alston.com. Its 25 opps are all 'ALSTON BIRD ...' (2019-2021). Same firm, only the punctuation and suffix differ."
4,duplicate,1,name_exact,1,001Px00000Vve0tIAB,ArentFox Schiff LLP,www.afslaw.com,2021-01-20T19:20:30.000+0000,15,1230,582,001Px00000heaAUIAY,ArentFox Schiff,,2026-07-25T18:08:21.000+0000,Kieran Hansen,N,3,3,2,duplicate,high,"Same name without the LLP suffix, created in the 2026-07-25 batch with a blank website. Its offices ('AFS' in Arlington, Washington, Boston) have contacts with @arentfox.com emails, the firm's legacy domain, so this is the same firm.",Y,duplicate,"The live record 001Px00000heaAUIAY 'ArentFox Schiff' is from the 2026-07-25 batch with a blank website. It has 3 child offices: 'AFS' in Arlington VA, whose street field says 'Arent Fox Llp'; 1717 K Street NW in Washington, the firm's DC HQ address; and Boston. All 3 contacts use @arentfox.com, the firm's legacy domain, and the opps reference 'ArentFox Schiff'/'AFS' Legalweek 2023. This is the current firm name without LLP, so it is a redundant record."
5,duplicate,1,name_exact,1,0016g00001ANqfwAAD,Ballard Spahr LLP,www.ballardspahr.com,2021-01-20T19:23:35.000+0000,32,761,538,001Px00000hlb4QIAQ,BALLARD SPAHR LLP,,2025-12-18T15:37:15.000+0000,Scott Lewis,N,1,1,0,duplicate,high,"The exact name in upper case, created by Scott Lewis with a blank website. Its Minneapolis office contact has an @ballardspahr.com email, the same firm (Ballard Spahr has a Minneapolis office).",Y,duplicate,"The live record 001Px00000hlb4QIAQ 'BALLARD SPAHR LLP' was created 2025-12-18 by Scott Lewis with a blank website. Its office is at 2000 IDS Center, 80 South 8th St, Minneapolis, which is Ballard Spahr's Minneapolis office (the former Lindquist & Vennum office; general knowledge). Its contact Elizabeth Becker uses @ballardspahr.com. Exact name in different case, so this is the same firm."
6,duplicate,1,name_exact,1,0016g00001ANqfwAAD,Ballard Spahr LLP,www.ballardspahr.com,2021-01-20T19:23:35.000+0000,32,761,538,001Px00000heW9jIAE,Ballard Spahr,,2026-07-25T18:08:30.000+0000,Kieran Hansen,N,1,1,0,duplicate,high,"Same name without LLP, created in the 2026-07-25 Kieran Hansen batch with a blank website. Its office contact's email is 'ballardpshar.com', a typo of the firm's domain.",Y,duplicate,"The live record 001Px00000heW9jIAE 'Ballard Spahr' is from the 2026-07-25 Kieran Hansen batch with a blank website. It has one office with no address, and its contact Jessica Origlio uses @ballardpshar.com, a typo of ballardspahr.com. Same firm without the LLP, so this is a redundant record."
7,duplicate,1,name_exact,1,0016g00001ANqfwAAD,Ballard Spahr LLP,www.ballardspahr.com,2021-01-20T19:23:35.000+0000,32,761,538,001Px00000heW9kIAE,Ballard Spahr LLP,,2026-07-25T18:08:30.000+0000,Kieran Hansen,N,1,2,2,duplicate,high,"Exact name match, created in the 2026-07-25 batch with a blank website. It has a Philadelphia office (the firm's headquarters) and contacts with 'ballardsphar.com' emails, a typo of the firm's domain.",Y,duplicate,"The live record 001Px00000heW9kIAE 'Ballard Spahr LLP' is from the 2026-07-25 batch with a blank website. Its office is at 1735 Market Street, 51st Floor, Philadelphia, which is Ballard Spahr's headquarters. Its contacts (Virginia Essandoh, Chief DEI Officer, and Hillary Ziegler) use the typo domain ballardsphar.com, and its opps are 'BALLARD SPAHR ALIPMA25'. The name matches exactly, so this is a redundant record."
8,duplicate,1,name_exact,1,0016g00001ANsRWAA1,Blank Rome LLP,www.blankrome.com,2021-01-20T19:26:52.000+0000,20,636,400,001Px00000hlfWxIAI,Blank Rome,,2026-06-16T15:17:40.000+0000,Kieran Hansen,N,1,2,0,duplicate,high,"Same name without LLP, created by Kieran Hansen with a blank website. Its New York office has two contacts with @blankrome.com emails.",Y,duplicate,"The live record 001Px00000hlfWxIAI 'Blank Rome' was created 2026-06-16 by Kieran Hansen with a blank website. Its office is at 1271 Avenue of the Americas, New York, Blank Rome's NY office (general knowledge). Its 2 contacts (Eileen Duffy, Sonia Bain) use @blankrome.com. Same firm without the LLP."
9,predecessor_or_legacy,1,alias_exact,1,0016g00001ANtcKAAT,Bryan Cave Leighton Paisner LLP,www.bclplaw.com,2021-01-20T19:29:08.000+0000,46,2542,921,001Px00000VwXFjIAN,"Berwin, Leighton, Paisner, LLP",,2025-11-13T12:17:04.000+0000,Kieran Hansen,N,1,8,1,predecessor_or_legacy,high,"Berwin Leighton Paisner merged with Bryan Cave in 2018 to form Bryan Cave Leighton Paisner (general knowledge). This record (2025-11-13 batch, London office) holds contacts with @blplaw.com and @bclplaw.com emails, so it is the legacy predecessor record.",Y,predecessor_or_legacy,"The live record 001Px00000VwXFjIAN is from the 2025-11-13 batch. Its London office is at Adelaide House, London Bridge, which was BLP's old London HQ. It has 6 contacts with @blplaw.com emails and 2 with @bclplaw.com, and one opp 'Berwin Leighton Paisner (Svcs)- 2019 The American Lawyer' with a 2019 close date. From general knowledge, BLP merged with Bryan Cave in April 2018 to form BCLP. So this is a predecessor firm record, not the same firm name."
10,predecessor_or_legacy,1,"alias_exact, name_short_form",2,0016g00001ANtcKAAT,Bryan Cave Leighton Paisner LLP,www.bclplaw.com,2021-01-20T19:29:08.000+0000,46,2542,921,001Px00000jNSCNIA4,Bryan Cave,www.bryancave.com,2026-08-26T15:41:48.000+0000,Kieran Hansen,N,1,0,0,predecessor_or_legacy,high,"Bryan Cave LLP merged with Berwin Leighton Paisner in 2018 to form BCLP (general knowledge). The record carries the legacy website www.bryancave.com and a Kansas City office, and it has no contacts.",Y,predecessor_or_legacy,"The live record 001Px00000jNSCNIA4 'Bryan Cave' was created 2026-08-26 by Kieran Hansen with the legacy website www.bryancave.com. It has one Kansas City office at 1200 Main St Ste 3300, a Bryan Cave-era KC address, and no contacts or opps. From general knowledge, Bryan Cave LLP merged with Berwin Leighton Paisner in 2018 to form BCLP. So this is a pre-merger predecessor name. It could be argued as a colloquial short form, but the legacy domain supports the predecessor call."
